time_in_ms,raw_rot_vel,pwm_model,pwm_real
2719.32,34770.0,255.0,255.0
2725.04,35190.0,255.0,255.0
2730.76,35100.0,255.0,255.0
2736.48,35010.0,255.0,255.0
2742.2,34940.0,255.0,255.0
2747.92,34870.0,255.0,255.0
2753.64,34820.0,255.0,255.0
2759.36,35230.0,255.0,255.0
2765.08,35130.0,255.0,255.0
2770.8,35040.0,255.0,255.0
2776.52,34960.0,255.0,255.0
2782.24,34890.0,255.0,255.0
2787.96,34840.0,255.0,255.0
2793.68,35250.0,255.0,255.0
2799.4,35140.0,255.0,255.0
2805.12,35050.0,255.0,255.0
2810.84,34970.0,255.0,255.0
2816.56,34900.0,255.0,255.0
2822.28,34840.0,255.0,255.0
2828,34790.0,255.0,255.0
2833.72,35210.0,255.0,255.0
2839.44,35110.0,255.0,255.0
2845.16,35020.0,255.0,255.0
2850.88,34950.0,255.0,255.0
2856.6,34880.0,255.0,255.0
2862.32,34830.0,255.0,255.0
2868.04,35240.0,255.0,255.0
2873.76,35140.0,255.0,255.0
2879.48,35040.0,255.0,255.0
2885.2,34970.0,255.0,255.0
2890.92,34900.0,255.0,255.0
2896.64,34840.0,255.0,255.0
2902.36,34790.0,255.0,255.0
2908.09,35200.0,255.0,255.0
2913.8,35110.0,255.0,255.0
2919.52,35020.0,255.0,255.0
2925.24,34950.0,255.0,255.0
2930.96,34880.0,255.0,255.0
2936.68,34820.0,255.0,255.0
2942.4,35240.0,255.0,255.0
2948.12,35130.0,255.0,255.0
2953.84,35040.0,255.0,255.0
2959.56,34970.0,255.0,255.0
2965.28,34900.0,255.0,255.0
2971,34840.0,255.0,255.0
2976.72,34790.0,255.0,255.0
2982.44,35210.0,255.0,255.0
2988.16,35110.0,255.0,255.0
2993.88,35020.0,255.0,255.0
2999.6,34950.0,255.0,255.0
3005.32,34880.0,255.0,255.0
3011.04,34820.0,255.0,255.0
3016.76,35240.0,255.0,255.0
3022.48,35130.0,255.0,255.0
3028.2,35040.0,255.0,255.0
3033.92,34970.0,255.0,255.0
3039.64,34900.0,255.0,255.0
3045.36,34840.0,255.0,255.0
3051.08,35250.0,255.0,255.0
3056.8,35150.0,255.0,255.0
3062.52,35050.0,255.0,255.0
3068.24,34970.0,255.0,255.0
3073.96,34900.0,255.0,255.0
3079.68,34850.0,255.0,255.0
3085.4,35260.0,255.0,255.0
3091.12,35150.0,255.0,255.0
3096.84,35060.0,255.0,255.0
3102.56,34980.0,255.0,255.0
3108.28,34910.0,255.0,255.0
3114,34840.0,255.0,255.0
3119.72,34800.0,255.0,255.0
3125.44,35220.0,255.0,255.0
3131.16,35110.0,255.0,255.0
3136.88,35030.0,255.0,255.0
3142.6,34950.0,255.0,255.0
3148.32,34880.0,255.0,255.0
3154.04,34830.0,255.0,255.0
3159.76,34780.0,255.0,255.0
3165.48,35200.0,255.0,255.0
3171.2,35100.0,255.0,255.0
3176.92,35010.0,255.0,255.0
3182.64,34940.0,255.0,255.0
3188.36,34880.0,255.0,255.0
3194.08,34820.0,255.0,255.0
3199.8,35240.0,255.0,255.0
3205.52,35130.0,255.0,255.0
3211.24,35040.0,255.0,255.0
3216.96,34960.0,255.0,255.0
3222.68,34900.0,255.0,255.0
3228.4,34840.0,255.0,255.0
3234.12,35250.0,255.0,255.0
3239.84,35140.0,255.0,255.0
3245.56,35050.0,255.0,255.0
3251.28,34970.0,255.0,255.0
3257,34900.0,255.0,255.0
3262.72,34840.0,255.0,255.0
3268.44,35260.0,255.0,255.0
3274.16,35150.0,255.0,255.0
3279.88,35050.0,255.0,255.0
3285.6,34980.0,255.0,255.0
3291.32,34910.0,255.0,255.0
3297.04,34850.0,255.0,255.0
3302.77,35250.0,255.0,255.0
3308.48,35150.0,255.0,255.0
3314.2,35060.0,255.0,255.0
3319.92,34980.0,255.0,255.0
3325.64,34910.0,255.0,255.0
3331.36,34850.0,255.0,255.0
3337.08,35260.0,255.0,255.0
3342.8,35150.0,255.0,255.0
3348.52,35060.0,255.0,255.0
